"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1543" 0.939212900404103 1.49007882663333 1.23630033756584 1.20527252266804 0.228098113421302 0.418260435005848
"1566" 0.923834182340316 0.455034891453934 0.690214879552463 0.659265548938875 0.509725261073742 0.686168620676191
"1638" 15.7902100373511 -0.285397398507462 0.202405233566161 -1.41002973825859 0.158530902066859 0.330968023613266
"1643" 6.04586017571846 -0.449705067492491 0.287032838716508 -1.56673734442159 0.117176097981289 0.276665786900265
"1654" 0.903215240776303 0.987939724296365 1.03856576212325 0.951253892942334 0.341475506388985 0.544712939145968
"1679" 0.796142768141424 -1.33797710571835 0.778006838440168 -1.71974980117253 0.0854779310006484 0.223067407655201
"1719" 3.51336483138352 -0.229193848537261 0.52486331379021 -0.436673401465569 0.662348221761694 0.806697596618904
"1720" 0.938926741817086 0.227563021486566 0.743377727419311 0.306120311509153 0.759513043464084 0.869058193963711
"1740" 3.14697668385527 -0.926587018793144 0.696843678241101 -1.32969136081127 0.183619982437435 0.360049909173526
"1742" 22.7868308521797 -0.260733865427629 0.282634947562695 -0.922511061268502 0.356262063337099 0.550586825157335
"1744" 0.523078515351174 -0.851869411343311 0.904803453730729 -0.941496639773911 0.346450410439418 0.546785130534359
"1745" 130.507875881966 -0.992577132740316 0.184233828627724 -5.38759434211177 7.14069954108796e-08 2.65544764184209e-06
"1747" 1.04138737700888 2.5606328050885 1.5226128667527 1.68173595600147 0.092620052455767 0.231550131139417
"1767" 0.382982998567313 0.875129363589719 1.03657417494361 0.844251559361225 0.398528848552095 0.586942239823011
"1797" 4.79215653650888 2.05682925333902 0.615845355832566 3.33984698245939 0.000838245625081005 0.00639430957593844
"1824" 9.21805020021291 -1.76129621627991 0.318056153381322 -5.53768948519058 3.0648802559129e-08 1.51966979355681e-06
"1842" 0.385910077491283 -1.02676632854116 0.993054067065228 -1.03394806244091 0.301160444368353 0.504761871546957
"1850" 1.65431945038004 -0.318418306865287 0.575421550312185 -0.553365279233173 0.580013309074433 0.746986837444345
"1870" 1.58079358688289 0.724515901930188 0.940076466272243 0.770698903678726 0.440885421923267 0.628162614748026
"1874" 90.3722561330299 1.91523923558125 0.443229886216513 4.3210967832744 1.55255552304411e-05 0.000279930465518559
"1878" 51.1077538175973 -1.33674570499972 0.146029716081872 -9.15392935675006 5.48994744103617e-20 3.26651872741652e-17
"1879" 13.8410486521263 1.085183885745 0.41106372707041 2.63994075439092 0.00829205216387807 0.0397551529851064
"1882" 0.850962841474063 0.633512064321359 0.837468862481906 0.756460440145673 0.449373182297785 0.636853229627096
"1885" 28.100449149062 0.49278330677292 0.277894966051009 1.77327180040558 0.0761836794713518 0.205109906269024
"1892" 3.4451658454159 -0.466589799619419 0.355551465521173 -1.31229890709488 0.189419300778273 0.367115582941604
"1896" 1.845938592388 0.849167189721036 0.674050407047445 1.25979775524602 0.207742329781873 0.392402178476872
