,SRX10470966,SRX10470967,SRX10470968,SRX10470969,SRX10470970,SRX10470971,SRX10470972,SRX10470973,SRX10470974,SRX10470975,SRX10470976,SRX10470977,SRX10470978,SRX10470979,SRX10470980,SRX10470981,SRX10470982,SRX10470983,SRX10470984,SRX10470985,SRX10470986,SRX10470987,SRX10470988,SRX10470989,SRX10470990,SRX10470991,SRX10470992,SRX10470993,SRX10470994,SRX10470995,SRX10470996,SRX10470997,SRX10470998,SRX10470999,SRX10471000,SRX10471001,SRX10471002,SRX10471003,SRX10471004,SRX10471005,SRX10471006,SRX10471007,SRX10471008,SRX10471009,SRX10471010,SRX10471011,SRX10471012,SRX10471013,SRX10471014,SRX10471015,SRX10471016,SRX10471017,SRX10471018,SRX10471019
2413,0,0,0,0,0,0,0,2.04481890276149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819310587695601,0,0,0,0.785723567303718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908674980847939
2415,6.32316506553433,4.38269990136268,10.4306885611018,11.7423688334248,22.2385181690825,1.79999099787746,5.44258075523871,6.13445670828447,3.64109117296962,8.11949510085668,20.9858413478094,5.30412160894306,33.7418469611554,7.26531357805895,6.59760512582734,7.57000040591494,5.58051893914285,7.61053485646406,8.17916545436338,0.958710443694007,8.44048885129189,5.15353934713713,1.08216648605602,13.5082654562841,7.58380521218852,7.09265408473266,10.1996913475406,2.30272111705559,9.42897354152491,6.32781729449079,9.69329489519105,192.166188575623,9.61078869798163,4.9158635261736,6.92582965049438,2.24365153647295,23.1542851106514,14.9287477787706,5.82968232887091,3.76157703569164,1.88619236512332,2.91757054167221,6.12820395305221,5.61199239478476,14.0588325600262,1.07013972156618,5.76844513114258,10.5714318086589,1.59393776516312,7.16870164307807,1.85860546510142,17.7008068294323,9.87110647790978,1.81734996169588
2416,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21088559634316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2417,0,0,0,0,0,0,0,0,0,0,0,0,0.937273526698761,0,0,0,0,0,0,0,0,0,0,0,0,0.886581760591582,0.927244667958238,0,0,1.05463621574846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,0.903309295076332,0,0,0,1.0589770556706,0,0,0,0,0,0.999325778467116,1.32603040223577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942897354152491,0,1.07703276613234,0,0,0,0.989404235784912,0,0,0,0,0,0,0,0,0.93533206579746,0,0,0,0,0,0,0,0,0,0
2421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47506723578603,0,0
2424,0,0,0,0,0,0,0,0,0,1.80433224463482,0.999325778467116,0,0,0,0,0,0,0,0,4.79355221847003,0,0,0,0,0,0,0,1.1513605585278,0,0,0,0,0,0,0,0,0,0.785723567303718,0,0,3.77238473024665,0,0,0,3.12418501333915,0,0,0.813187062204528,1.59393776516312,0.651700149370734,0.929302732550708,0,0,0
2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2427,0,0,0,0,0,0,0,2.04481890276149,0,0.902166122317409,0,0.663015201117883,0,0,0,0,0,0,0,0,0,0,1.08216648605602,0,0,0,0,0,0,0,0,0,0,0,0,1.12182576823647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2432,0,0.876539980272536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08340074459836,0,0,1.1513605585278,0,0,1.07703276613234,0,0,0,0,0,0,0,0,0,0.943096182561662,0.972523513890737,0,0,0,0,0,0,0,0,0,0,0,0
2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886581760591582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
