,SRX9033799,SRX9033800,SRX9033801,SRX9033802,SRX9033803,SRX9033804,SRX9033805,SRX9033806,SRX9033807,SRX9033808,SRX9033809,SRX9033810,SRX9033811,SRX9033812,SRX9033813,SRX9033814,SRX9033815,SRX9033816,SRX9033817,SRX9033818,SRX9033819,SRX9033820,SRX9033821,SRX9033822,SRX9033823,SRX9033824,SRX9033825,SRX9033826,SRX9033827,SRX9033828,SRX9033829,SRX9033830,SRX9033831,SRX9033832,SRX9033833,SRX9033834,SRX9033835,SRX9033836,SRX9033837,SRX9033838,SRX9033839,SRX9033840,SRX9033841,SRX9033842,SRX9033843,SRX9033844,SRX9033845,SRX9033846,SRX9033847,SRX9033848,SRX9033849,SRX9033850,SRX9033851,SRX9033852,SRX9033853,SRX9033854,SRX9033855,SRX9033856,SRX9033857,SRX9033858,SRX9033859,SRX9033860,SRX9033861,SRX9033862,SRX9033863,SRX9033864,SRX9033865,SRX9033866,SRX9033867,SRX9033868,SRX9033869,SRX9033870,SRX9033871,SRX9033872,SRX9033873,SRX9033874,SRX9033875,SRX9033876,SRX9033877,SRX9033878,SRX9033879,SRX9033880,SRX9033881,SRX9033882,SRX9033883,SRX9033884,SRX9033885,SRX9033886,SRX9033887,SRX9033888,SRX9033889,SRX9033890,SRX9033891,SRX9033892,SRX9033893,SRX9033894,SRX9033895,SRX9033896,SRX9033897,SRX9033898,SRX9033899,SRX9033900,SRX9033901,SRX9033902,SRX9033903,SRX9033904,SRX9033905,SRX9033906,SRX9033907,SRX9033908,SRX9033909,SRX9033910,SRX9033911,SRX9033912,SRX9033913,SRX9033914,SRX9033915,SRX9033916,SRX9033917,SRX9033918,SRX9033919,SRX9033920,SRX9033921,SRX9033922,SRX9033923,SRX9033924
1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77629932135289,0,0,0.67196567504211,0,0,1.26247811588035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,0,0,0,2.25271162359451,0,0,1.36286110911023,0,1.78519961913389,0,3.14854752756586,0,0,0.99318607518916,0,1.19855216864671,0,0,0.730069246678903,1.06220639710019,0,0,0,0,0,0,0,0,0,0,1.29899605384648,0,0,0,0,0,0,0,0,2.14052178493602,0,0,0,0,0,0,0,0,0,0,0,0,3.73134105084754,0,2.25388786422968,0,0,0.731583947922689,0,0.67196567504211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9091149270391,0,0,0,0,4.00894245205437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08396331776565,0,0,0.712460299437057,0,0.719599498673281,0,0,0,0,0,0,0.734320039319308,0,0
1054,0.744255398286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09899000354393,0,0,0,0,0,0,0,0,0,1.25539681453729,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97506495345025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977363012729598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848572709042242,0,0,0,0,0,0,0,0,0,0
1056,0,0,0,0.750903874531504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25539681453729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44817385000745,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00570372892501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82454870545837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,0,0,1.18399749111202,0,0,0,0,1.13400527668052,0,0,0,0,0.676549659919862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40053689917261,0,0,0,0,1.95568221874321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34393135008422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08402637963235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673259316712266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,0.744255398286,19.2204334530577,3.55199247333606,12.0144619925041,33.3940322753646,4.23991013871965,11.5843194274369,11.3400527668052,57.1263878122845,18.2627845623495,50.3767604410538,50.6288722948652,54.123972793589,83.4276303158895,117.777578876431,7.79058909620362,1.83978419210253,18.587622043294,26.2824928804405,9.55985757390168,24.619155217612,11.9226762898946,26.7115473320312,19.4980215645459,8.07194369727248,191.224260616643,28.9587561741386,14.2852997725224,22.4085903867617,174.40763766009,16.8869487000042,33.0372578095411,15.0295057699172,14.6676166405741,30.3473081246206,40.1726980651934,50.4914168660956,14.1035793759746,65.5698514958602,12.8431307096161,30.0472598675508,31.6755883846634,22.6022511191669,30.1641222624744,10.5532125195949,20.7497295244568,30.6566652179057,20.7527933403682,41.5552181756301,7.95012990690051,14.4874178332896,2.33957263421785,15.858199466102,15.2802534014499,9.0155514569187,10.7122030003383,35.2454603326269,24.1422702814487,3.72375711925739,20.1589702512633,97.5121212879583,294.937731562992,73.2237307210601,25.6247389608077,128.294796769293,19.4744930382796,134.818395255695,18.0499102013632,12.4590581675514,33.6308153401825,15.6514331645978,14.9457083415548,27.8602208727463,5.58407030776719,4.80852793588791,1.20763613532906,25.5561867468919,27.421200215448,5.17789758564988,3.25207913889704,7.80566967656568,0.977045565387671,5.73626906875151,11.7691850342513,81.0401302066865,31.8577803406688,23.9737068609468,8.2454870545837,25.6496506275616,62.9187809974672,24.013216028262,26.7276089785475,99.1393658363718,24.6189554501266,13.2602875404747,14.4601351601031,16.0357698082175,73.385265521637,57.6644177510463,11.4835312087633,9.65815175217348,13.1674328929105,2.51779754044015,10.42590419807,14.2711746350743,40.2463032661239,34.7591997942694,39.2224454280753,208.086224348478,10.6197267550875,20.6848528503565,16.2594497664847,20.194934456728,19.6121060648041,3.56230149718529,38.1857719069009,52.5307634031495,4.63545287613816,55.7096541102066,44.5744695570704,9.37998830073538,313.879196811934,23.5066783990432,27.9041614941337,35.8177161409588,18.8400455633575
1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689877039680456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667253317753434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
