,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1313,0,1.01239412477628,1.18945735753315,0,0,0.945031043556156,3.1545058162498,0.840047247244072
1315,0,0,0,0,0,0,0,0
1316,0,0,0,0,0,1.89006208711231,0,0
1317,0,0,0,0,0,0,0,0
1321,0,0,0,0,0,0,0,0
1323,0,0,0,0,0,0,0,0
1324,0,0,0,0,0,0,0,0
1325,0,0,0,0,0,0,0,0
1329,1.17727881798902,1.01239412477628,2.37891471506631,3.074826763224,1.84501571389187,0.945031043556156,3.1545058162498,1.68009449448814
1334,0,0,0,0,0,0,0,0
1335,0,0,0,0,0,0,0,0
1336,0,0,0,0,0,0,0,0
1339,1.17727881798902,0,0,0,0,0,0,0
1342,0,0,1.18945735753315,3.074826763224,0,0,0,0
1343,0,0,1.18945735753315,0.768706690806,0,0,0,0
1347,0,0,0,0,0,0,0,0
1349,0,0,0,0,0,0,0,0
1350,0,0,0,0.768706690806,0,0,0,0
1351,0,0,0,0,0,0,0,0
1352,0,0,0,0,0,0,0,0
1356,0,0,0,0,0,0,0,0
1359,0,0,0,0,0,0,1.05150193874993,0
1362,0,0,0,0,0,0,0,0
1365,0,0,0,0,0,0,0,0
1366,0,0,0,0,0,0,0,0
1368,0,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0
1371,0,0,2.37891471506631,1.537413381612,1.84501571389187,5.67018626133693,0,0
1372,0,0,0,0,0,0,0,0
1374,0,0,2.37891471506631,0,0,0,0,0
1376,0,0,0,0,0,0,0,0
1378,0,0,0,0,0,0,0,0
1379,4.70911527195607,2.02478824955256,2.37891471506631,5.380946835642,4.61253928472968,3.78012417422462,4.20600775499973,1.68009449448814
1383,0,0,0,0,0,0,0,0
1385,0,0,0,0,0,0,0,0
1386,0,0,0,0,0,0,0,0
1387,0,0,0,0,0,0,0,0
1388,0,0,0,0,0,0,0,0
1389,0,0,0,0.768706690806,0,0,0,0
1390,0,0,0,0,0,0,0,0
1392,0,0,0,0,0,0,0,0
1393,0,0,0,0,0,0,0,0
1396,0,0,0,0,0,0,0,0
1398,0,0,0,0,0,0,0,0
1405,1.17727881798902,1.01239412477628,0,2.306120072418,0.922507856945936,0.945031043556156,3.1545058162498,0
1406,0,0,0,0,0,0,0,0
1407,0,0,0,0,0,0,1.05150193874993,0
1412,2.35455763597804,2.02478824955256,1.18945735753315,3.84353345403,0,0,0,0
1413,0,0,0,0,0,0,0,0
1414,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0
1419,0,0,0,0,0,0,1.05150193874993,0
1420,0,0,0,0,0,0,0,0
1422,0,0,0,0,0,0,0,0
1424,0,0,0,0,0,0,0,0
1425,0,0,0,0,0,0,0,0
1426,0,0,0,0,0,0,0,0
