erv,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1532,0,0,0,0,0,0,0,0
1535,0,0,0,0,0,0,0,0
1536,0,0,0,0,0,0,0,0
1537,0,0,0,0,0,0,0,1
1538,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0
1542,0,0,0,0,0,0,0,0
1543,0,0,27,4,12,3,9,3
1544,0,0,0,0,0,0,0,0
1545,0,0,0,0,0,0,0,0
1549,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0
1552,0,0,0,0,0,0,0,0
1553,0,0,0,0,0,0,0,0
1555,0,0,0,0,0,0,0,0
1556,0,0,0,0,2,0,0,0
1557,0,0,0,0,0,1,0,0
1559,0,0,0,0,0,0,0,0
1561,0,0,0,0,1,0,0,0
1563,0,0,0,0,0,0,0,0
1566,0,0,0,0,0,0,0,0
1568,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0
1574,0,0,0,0,0,0,0,0
1575,0,0,0,0,0,0,0,0
1576,0,0,0,0,0,0,0,0
1577,0,0,2,0,0,0,0,0
1579,0,0,0,0,0,0,0,0
1580,0,0,0,0,0,0,0,0
1584,0,0,0,0,0,0,0,0
1588,0,0,0,0,0,0,0,0
1589,0,0,0,0,0,0,1,0
1590,0,0,0,0,0,0,0,0
1591,0,0,0,0,0,0,0,0
1592,0,0,0,0,0,0,0,0
1593,0,0,0,0,0,0,0,1
1594,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0
1596,0,0,0,0,0,0,0,0
1598,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0
1601,0,0,0,0,0,0,0,0
1602,0,0,0,0,0,0,0,0
1603,0,0,0,0,0,0,0,0
1605,0,0,0,0,0,0,0,0
1606,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0
1613,0,0,0,0,0,0,0,0
1615,0,0,0,0,0,0,0,0
1617,0,0,0,0,0,0,0,0
1619,0,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0
1621,0,0,0,0,0,0,0,0
1622,1,0,0,0,0,1,0,0
1624,0,0,0,0,0,0,0,0
1627,0,0,0,0,0,0,0,0
1629,0,0,0,0,0,0,0,0
1632,0,0,0,0,0,0,0,0
1637,0,0,0,3,0,0,1,1
1638,4,6,0,1,1,0,1,2
1639,0,0,0,0,2,0,0,1
1641,0,0,0,0,0,0,0,0
1643,7,3,3,2,3,0,0,1
1645,0,0,0,0,0,0,1,0
1646,1,0,1,0,0,1,1,1
1647,0,0,2,0,0,0,0,0
1648,0,0,0,0,0,0,0,0
1650,0,0,0,0,0,0,0,0
1653,0,0,1,0,1,0,0,0
1654,0,0,6,5,0,3,6,2
1658,0,0,0,0,0,0,0,0
1659,0,0,0,0,0,0,0,0
1661,0,0,0,0,0,0,0,0
1662,0,0,0,0,0,0,0,0
1663,0,0,0,0,0,0,0,0
1664,0,0,0,0,0,0,1,0
1665,0,0,0,0,0,0,0,0
1667,0,0,0,0,0,0,0,0
1669,0,0,0,0,0,0,0,0
1672,0,0,0,0,0,0,0,0
1673,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0
1676,0,0,0,1,0,0,0,0
1678,0,0,0,0,0,0,0,0
1679,0,1,0,1,1,2,1,1
1680,0,0,0,0,0,0,0,0
1685,0,0,0,0,1,0,0,0
1687,0,0,0,0,0,0,0,0
1688,0,0,0,0,0,0,0,0
1690,0,0,0,1,0,0,0,0
1691,0,0,0,0,0,0,0,0
1692,0,0,0,0,0,0,0,0
1693,0,0,0,0,0,0,0,0
1696,0,0,0,0,0,0,0,0
1698,0,0,0,0,0,0,0,0
1702,0,0,0,0,0,0,0,0
1703,0,0,0,0,0,0,0,0
1708,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0
1711,0,0,0,0,0,0,0,0
1712,0,0,0,0,2,0,0,0
1716,0,0,0,0,0,2,0,0
1717,0,0,0,0,0,0,0,0
1718,0,0,0,0,0,0,0,0
1719,0,2,0,0,1,0,0,1
1720,0,0,2,1,1,1,1,0
1721,0,0,0,1,0,1,0,0
1722,0,0,0,0,0,0,0,0
1723,0,0,0,0,0,0,0,0
